"Country.Province" "Lat" "Long" "Sum_ills" "Mean_ills" "Std_ills"
"76" "China:Jiangsu" 32.9711 119.455 753664 951.59595959596 453.382169409702
"77" "China:Jiangxi" 27.614 115.7221 731519 923.635101010101 107.721345016561
"78" "China:Jilin" 43.6661 126.1923 415559 524.695707070707 1457.89950024025
"79" "China:Liaoning" 41.2956 122.6085 318910 402.664141414141 250.620874192588
"80" "China:Macau" 22.1667 113.55 41506 52.4065656565657 18.0117634639953
"81" "China:Ningxia" 37.2692 106.1655 65440 82.6262626262626 20.6079340378024
"82" "China:Qinghai" 35.7452 95.9956 15848 20.010101010101 5.07863813931328
"83" "China:Shaanxi" 35.1917 108.8701 587440 741.717171717172 744.588260165519
"84" "China:Shandong" 36.3427 118.1498 703741 888.561868686869 234.775382790967
"85" "China:Shanghai" 31.202 121.4491 1424152 1798.17171717172 1099.38289128568
"86" "China:Shanxi" 37.5777 112.2922 177891 224.609848484848 47.2309927814072
"87" "China:Sichuan" 30.6171 102.7103 723701 913.763888888889 315.304594265022
"88" "China:Tianjin" 39.3054 117.323 314209 396.728535353535 272.167909974895
"89" "China:Tibet" 31.6927 88.0924 784 0.98989898989899 0.100058086285366
"90" "China:Unknown" NA NA 279 0.352272727272727 4.77968677849231
"91" "China:Xinjiang" 41.1129 85.2401 597024 753.818181818182 381.854397722022
"92" "China:Yunnan" 24.974 101.487 512412 646.984848484848 652.411027610966
"93" "China:Zhejiang" 29.1832 120.0934 1123941 1419.11742424242 339.516909866641
"94" "Colombia:" 4.5709 -74.2973 2020966423 2551725.28156566 2142236.77151999
"95" "Comoros:" -11.6455 43.3333 2136205 2697.22853535354 2494.88081989512
"96" "Congo (Brazzaville):" -0.228 15.8277 7465467 9426.0946969697 7366.93611529234
"97" "Congo (Kinshasa):" -4.0383 21.7587 24473158 30900.452020202 27035.9828780043
"98" "Costa Rica:" 9.7489 -83.7534 209995303 265145.58459596 246454.862250465
"99" "Cote d'Ivoire:" 7.54 -5.5471 27948532 35288.5505050505 25482.2499914058
"100" "Croatia:" 45.1 15.2 224983435 284069.993686869 298180.054337042
"101" "Cuba:" 21.521757 -77.781167 237201671 299497.059343434 408884.45197559
"102" "Cyprus:" 35.1264 33.4299 55202892 69700.6212121212 88267.2562940204
"103" "Czechia:" 49.8175 15.473 891317614 1125401.02777778 1046196.30579859
"104" "Denmark:Faroe Islands" 61.8926 -6.9118 2530867 3195.53914141414 7841.12966660603
"105" "Denmark:Greenland" 71.7069 -42.6043 964331 1217.58964646465 3130.35300708559
"106" "Denmark:" 56.2639 9.5018 295485470 373087.714646465 648801.388964968
"107" "Diamond Princess:" 0 0 546108 689.530303030303 117.384600634637
"108" "Djibouti:" 11.8251 42.5903 6327734 7989.56313131313 4846.92053275857
"109" "Dominica:" 15.415 -61.371 1437485 1815.00631313131 3250.33435117028
"110" "Dominican Republic:" 18.7357 -70.1627 179335717 226433.986111111 171223.322316001
"111" "Ecuador:" -1.8312 -78.1834 243436960 307369.898989899 237128.368286051
"112" "Egypt:" 26.820553 30.802498 153814237 194209.89520202 140541.329422383
"113" "El Salvador:" 13.7942 -88.8965 47563239 60054.5946969697 46404.1902490079
"114" "Equatorial Guinea:" 1.6508 10.2679 5578575 7043.6553030303 4868.4270816068
"115" "Eritrea:" 15.1794 39.7823 2714834 3427.82070707071 3344.60247034346
"116" "Estonia:" 58.5953 25.0136 82282302 103891.795454545 127618.898634375
"117" "Eswatini:" -26.5225 31.4659 17343417 21898.2537878788 22840.2033087673
"118" "Ethiopia:" 9.145 40.4897 149568529 188849.152777778 157310.069202784
"119" "Fiji:" -17.7134 178.065 13184905 16647.6073232323 24669.0903471295
"120" "Finland:" 61.92411 25.748151 88933103 112289.271464646 167695.642025689
"121" "France:French Guiana" 3.9339 -53.1258 18332670 23147.3106060606 22020.9633780653
"122" "France:French Polynesia" -17.6797 149.4068 15975366 20170.9166666667 19713.7644512679
"123" "France:Guadeloupe" 16.265 -61.551 19386850 24478.345959596 32608.1223488734
"124" "France:Martinique" 14.6415 -61.0242 16497652 20830.3686868687 30727.9875184404
"125" "France:Mayotte" -12.8275 45.166244 10372100 13096.0858585859 11008.9069743027
"126" "France:New Caledonia" -20.904305 165.618042 4042579 5104.26641414141 12441.0476698558
"127" "France:Reunion" -21.1151 55.5364 31410902 39660.2297979798 70520.936487434
"128" "France:Saint Barthelemy" 17.9 -62.8333 702436 886.914141414141 1055.53171612422
"129" "France:Saint Pierre and Miquelon" 46.8852 -56.3159 88326 111.522727272727 306.002535852323
"130" "France:St Martin" 18.0708 -63.0501 1740979 2198.20580808081 2675.36378079921
"131" "France:Wallis and Futuna" -14.2938 -178.1165 168491 212.741161616162 222.849061235892
"132" "France:" 46.2276 2.2137 3837265837 4845032.62247475 5659282.65668735
"133" "Gabon:" -0.8037 11.6094 14559371 18383.0441919192 14786.7520434425
"134" "Gambia:" 13.4432 -15.3101 4101648 5178.84848484848 3999.62066308408
"135" "Georgia:" 42.3154 43.3569 288734343 364563.564393939 427105.050499405
"136" "Germany:" 51.165691 10.451526 2509325385 3168340.13257576 3816302.47353329
"137" "Ghana:" 7.9465 -1.0232 58959791 74444.1805555556 50699.0770168255
"138" "Greece:" 39.0742 21.8243 359231988 453575.742424242 646807.814813777
"139" "Grenada:" 12.1165 -61.679 1659723 2095.60984848485 3935.56967323653
"140" "Guatemala:" 15.7835 -90.2308 207547012 262054.308080808 249891.220136079
"141" "Guinea:" 9.9456 -9.6966 13905035 17556.8623737374 11730.6324878005
"142" "Guinea-Bissau:" 11.8037 -15.1804 2765638 3491.96717171717 2336.13246499219
"143" "Guyana:" 4.860416 -58.93018 13041567 16466.625 18665.3879873988
"144" "Haiti:" 18.9712 -72.2852 10575273 13352.6174242424 9240.97868549864
"145" "Holy See:" 41.9029 12.4534 16628 20.9949494949495 9.2494561836917
"146" "Honduras:" 15.2 -86.2419 145557860 183785.176767677 145762.717543991
"147" "Hungary:" 47.1625 19.5033 423382701 534574.117424242 526962.001382619
"148" "Iceland:" 64.9631 -19.0208 12038789 15200.4911616162 31187.4875828738
"149" "India:" 20.593684 78.96288 13648707132 17233216.0757576 14991179.1417307
"150" "Indonesia:" -0.7893 113.9213 1453385107 1835082.20580808 1845599.515952
"151" "Iran:" 32.427908 53.688046 2004280859 2530657.65025253 2440694.84956858
"152" "Iraq:" 33.223191 43.679291 760221168 959875.212121212 824756.040655614
"153" "Ireland:" 53.1424 -7.6921 228400107 288383.973484849 356611.814902122
"154" "Israel:" 31.046051 34.851612 636160999 803233.58459596 896461.753685695
"155" "Italy:" 41.87194 12.56738 2556492872 3227895.04040404 3353907.86878649
"156" "Jamaica:" 18.1096 -77.2975 31286139 39502.7007575758 41250.2138111316
"157" "Japan:" 36.204824 138.252924 690475244 871812.176767677 1238466.2494905
"158" "Jordan:" 31.24 36.51 385257472 486436.202020202 470982.628056947
"159" "Kazakhstan:" 48.0196 66.9237 354916370 448126.72979798 445283.171085354
"160" "Kenya:" -0.0236 37.9062 103427458 130590.224747475 109453.296072227
"161" "Kiribati:" -3.3704 -168.734 135638 171.260101010101 662.257916478388
"162" "Korea, South:" 35.907757 127.766922 313586917 395943.077020202 1232136.77076937
"163" "Kosovo:" 42.602636 20.902977 62737135 79213.5542929293 70898.623638404
"164" "Kuwait:" 29.31166 47.481766 184364542 232783.512626263 183374.604813068
"165" "Kyrgyzstan:" 41.20438 74.766098 74318302 93836.2398989899 70241.654017546
"166" "Laos:" 19.85627 102.495496 17845216 22531.8383838384 44154.3707664276
"167" "Latvia:" 56.8796 24.6032 95377642 120426.315656566 162565.72873759
"168" "Lebanon:" 33.8547 35.8623 282487258 356675.830808081 327789.429711362
"169" "Lesotho:" -29.61 28.2336 8017091 10122.5896464646 10461.4897021607
"170" "Liberia:" 6.428055 -9.429499 2295886 2898.84595959596 2451.93532457788
"171" "Libya:" 26.3351 17.228331 131544165 166091.117424242 157177.677733221
"172" "Liechtenstein:" 47.14 9.55 2170954 2741.10353535354 3150.40010733493
"173" "Lithuania:" 55.1694 23.8813 175183773 221191.632575758 243619.069745538
"174" "Luxembourg:" 49.8153 6.1296 42544402 53717.6792929293 49161.0042728813
"175" "MS Zaandam:" 0 0 6506 8.21464646464647 2.52759988717482
"176" "Madagascar:" -18.766947 46.869107 20878003 26361.1148989899 19671.0235494975
"177" "Malawi:" -13.2543 34.3015 23984400 30283.3333333333 29051.7421638269
"178" "Malaysia:" 4.210484 101.975766 703262694 887957.946969697 1160175.54269123
"179" "Maldives:" 3.2028 73.2207 35149813 44381.077020202 48129.109875797
"180" "Mali:" 17.570692 -3.996166 8056844 10172.7828282828 8820.23237613153
"181" "Malta:" 35.9375 14.3754 17949112 22663.0202020202 21400.6344889717
